Test,DataSize,DataPattern,SkipList Insert (ms),SkipList Search (ms),SkipList Delete (ms),SkipList Total (ms),Treap Insert (ms),Treap Search (ms),Treap Delete (ms),Treap Total (ms)
small_increasing,small,increasing,84.740,42.927,77.123,204.790,0.000252,0.000207,0.000240,69.963
small_decreasing,small,decreasing,82.331,37.041,80.081,199.453,0.000227,0.000207,0.000236,67.002
small_random,small,random,45.416,13.942,30.919,90.277,0.000077,0.000062,0.000007,14.640
small_equal,small,equal,36.018,5.790,31.048,72.856,0.000022,0.000023,0.000004,4.910
medium_increasing,medium,increasing,1240.883,955.050,1382.423,3578.356,0.000516,0.000368,0.000445,1329.007
medium_decreasing,medium,decreasing,1227.154,1041.416,1617.033,3885.603,0.000344,0.000452,0.000549,1344.729
medium_random,medium,random,1046.787,738.679,1154.422,2939.888,0.000282,0.000255,0.000358,894.857
medium_equal,medium,equal,326.513,42.499,293.359,662.371,0.000023,0.000022,0.000004,48.605
large_increasing,large,increasing,28108.125,31504.714,34726.854,94339.693,0.001270,0.001250,0.001601,41218.678
large_decreasing,large,decreasing,28336.465,32809.103,35530.455,96676.023,0.001314,0.001203,0.001505,40215.414
large_random,large,random,28320.975,31805.403,34579.550,94705.928,0.001184,0.001191,0.001544,39194.393
large_equal,large,equal,3332.557,409.124,2937.369,6679.050,0.000025,0.000023,0.000004,518.874
